Location,Year,Crime,Total cases
Barcelona,2021,Intentional homicides and consummated murders,36
Barcelona,2021,Intentional homicides and attempted murders,137
Barcelona,2021,Serious and less serious crimes of injuries and riotous brawl,2161
Barcelona,2021,Kidnapping,8
Barcelona,2021,Crimes against freedom and sexual indemnity,2406
Barcelona,2021,Sexual assault with penetration,436
Barcelona,2021,Other crimes against freedom and sexual indemnity,1970
Barcelona,2021,Robbery with violence and intimidation,18360
Barcelona,2021,Burglaries with force in homes,16743
Barcelona,2021,Robberies with force in homes,10697
Barcelona,2021,Theft,97043
Barcelona,2021,Vehicle theft,5074
Barcelona,2021,Drug trafficking,2833
Barcelona,2021,Other criminal offenses,152565
Madrid,2021,Intentional homicides and consummated murders,37
Madrid,2021,Intentional homicides and attempted murders,94
Madrid,2021,Serious and less serious crimes of injuries and riotous brawl,2717
Madrid,2021,Kidnapping,13
Madrid,2021,Crimes against freedom and sexual indemnity,2420
Madrid,2021,Sexual assault with penetration,274
Madrid,2021,Other crimes against freedom and sexual indemnity,2146
Madrid,2021,Robbery with violence and intimidation,12153
Madrid,2021,Burglaries with force in homes,12262
Madrid,2021,Robberies with force in homes,8243
Madrid,2021,Theft,108778
Madrid,2021,Vehicle theft,6922
Madrid,2021,Drug trafficking,2502
Madrid,2021,Other criminal offenses,197970
Valencia,2021,Intentional homicides and consummated murders,22
Valencia,2021,Intentional homicides and attempted murders,65
Valencia,2021,Serious and less serious crimes of injuries and riotous brawl,1241
Valencia,2021,Kidnapping,2
Valencia,2021,Crimes against freedom and sexual indemnity,1081
Valencia,2021,Sexual assault with penetration,124
Valencia,2021,Other crimes against freedom and sexual indemnity,957
Valencia,2021,Robbery with violence and intimidation,3063
Valencia,2021,Burglaries with force in homes,7018
Valencia,2021,Robberies with force in homes,6054
Valencia,2021,Theft,34443
Valencia,2021,Vehicle theft,1338
Valencia,2021,Drug trafficking,904
Valencia,2021,Other criminal offenses,74380
Murcia,2021,Intentional homicides and consummated murders,14
Murcia,2021,Intentional homicides and attempted murders,46
Murcia,2021,Serious and less serious crimes of injuries and riotous brawl,863
Murcia,2021,Kidnapping,3
Murcia,2021,Crimes against freedom and sexual indemnity,613
Murcia,2021,Sexual assault with penetration,61
Murcia,2021,Other crimes against freedom and sexual indemnity,552
Murcia,2021,Robbery with violence and intimidation,1375
Murcia,2021,Burglaries with force in homes,4701
Murcia,2021,Robberies with force in homes,3793
Murcia,2021,Theft,11925
Murcia,2021,Vehicle theft,666
Murcia,2021,Drug trafficking,506
Murcia,2021,Other criminal offenses,37088
Seville,2021,Intentional homicides and consummated murders,8
Seville,2021,Intentional homicides and attempted murders,57
Seville,2021,Serious and less serious crimes of injuries and riotous brawl,691
Seville,2021,Kidnapping,5
Seville,2021,Crimes against freedom and sexual indemnity,600
Seville,2021,Sexual assault with penetration,38
Seville,2021,Other crimes against freedom and sexual indemnity,562
Seville,2021,Robbery with violence and intimidation,1937
Seville,2021,Burglaries with force in homes,4697
Seville,2021,Robberies with force in homes,2565
Seville,2021,Theft,18880
Seville,2021,Vehicle theft,1309
Seville,2021,Drug trafficking,642
Seville,2021,Other criminal offenses,48461
Zaragoza,2021,Intentional homicides and consummated murders,4
Zaragoza,2021,Intentional homicides and attempted murders,8
Zaragoza,2021,Serious and less serious crimes of injuries and riotous brawl,376
Zaragoza,2021,Kidnapping,2
Zaragoza,2021,Crimes against freedom and sexual indemnity,326
Zaragoza,2021,Sexual assault with penetration,41
Zaragoza,2021,Other crimes against freedom and sexual indemnity,285
Zaragoza,2021,Robbery with violence and intimidation,912
Zaragoza,2021,Burglaries with force in homes,1563
Zaragoza,2021,Robberies with force in homes,1044
Zaragoza,2021,Theft,7663
Zaragoza,2021,Vehicle theft,199
Zaragoza,2021,Drug trafficking,327
Zaragoza,2021,Other criminal offenses,21316
Malaga,2021,Intentional homicides and consummated murders,15
Malaga,2021,Intentional homicides and attempted murders,48
Malaga,2021,Serious and less serious crimes of injuries and riotous brawl,913
Malaga,2021,Kidnapping,13
Malaga,2021,Crimes against freedom and sexual indemnity,577
Malaga,2021,Sexual assault with penetration,49
Malaga,2021,Other crimes against freedom and sexual indemnity,528
Malaga,2021,Robbery with violence and intimidation,1388
Malaga,2021,Burglaries with force in homes,4154
Malaga,2021,Robberies with force in homes,2933
Malaga,2021,Theft,18720
Malaga,2021,Vehicle theft,1493
Malaga,2021,Drug trafficking,1078
Malaga,2021,Other criminal offenses,47803
Barcelona,2020,Intentional homicides and consummated murders,36
Barcelona,2020,Intentional homicides and attempted murders,108
Barcelona,2020,Serious and less serious crimes of injuries and riotous brawl,1598
Barcelona,2020,Kidnapping,3
Barcelona,2020,Crimes against freedom and sexual indemnity,1703
Barcelona,2020,Sexual assault with penetration,285
Barcelona,2020,Other crimes against freedom and sexual indemnity,1418
Barcelona,2020,Robbery with violence and intimidation,15249
Barcelona,2020,Burglaries with force in homes,4061
Barcelona,2020,Robberies with force in homes,10979
Barcelona,2020,Theft,92393
Barcelona,2020,Vehicle theft,5075
Barcelona,2020,Drug trafficking,2090
Barcelona,2020,Other criminal offenses,135216
Madrid,2020,Intentional homicides and consummated murders,38
Madrid,2020,Intentional homicides and attempted murders,98
Madrid,2020,Serious and less serious crimes of injuries and riotous brawl,2287
Madrid,2020,Kidnapping,10
Madrid,2020,Crimes against freedom and sexual indemnity,1976
Madrid,2020,Sexual assault with penetration,217
Madrid,2020,Other crimes against freedom and sexual indemnity,1759
Madrid,2020,Robbery with violence and intimidation,10688
Madrid,2020,Burglaries with force in homes,3234
Madrid,2020,Robberies with force in homes,7052
Madrid,2020,Theft,92213
Madrid,2020,Vehicle theft,6235
Madrid,2020,Drug trafficking,2470
Madrid,2020,Other criminal offenses,181917
Valencia,2020,Intentional homicides and consummated murders,14
Valencia,2020,Intentional homicides and attempted murders,53
Valencia,2020,Serious and less serious crimes of injuries and riotous brawl,892
Valencia,2020,Kidnapping,8
Valencia,2020,Crimes against freedom and sexual indemnity,779
Valencia,2020,Sexual assault with penetration,92
Valencia,2020,Other crimes against freedom and sexual indemnity,687
Valencia,2020,Robbery with violence and intimidation,2355
Valencia,2020,Burglaries with force in homes,1162
Valencia,2020,Robberies with force in homes,5077
Valencia,2020,Theft,24012
Valencia,2020,Vehicle theft,1257
Valencia,2020,Drug trafficking,907
Valencia,2020,Other criminal offenses,64822
Murcia,2020,Intentional homicides and consummated murders,10
Murcia,2020,Intentional homicides and attempted murders,41
Murcia,2020,Serious and less serious crimes of injuries and riotous brawl,645
Murcia,2020,Kidnapping,1
Murcia,2020,Crimes against freedom and sexual indemnity,505
Murcia,2020,Sexual assault with penetration,64
Murcia,2020,Other crimes against freedom and sexual indemnity,441
Murcia,2020,Robbery with violence and intimidation,1207
Murcia,2020,Burglaries with force in homes,400
Murcia,2020,Robberies with force in homes,3796
Murcia,2020,Theft,9925
Murcia,2020,Vehicle theft,726
Murcia,2020,Drug trafficking,389
Murcia,2020,Other criminal offenses,32819
Seville,2020,Intentional homicides and consummated murders,12
Seville,2020,Intentional homicides and attempted murders,64
Seville,2020,Serious and less serious crimes of injuries and riotous brawl,612
Seville,2020,Kidnapping,5
Seville,2020,Crimes against freedom and sexual indemnity,508
Seville,2020,Sexual assault with penetration,31
Seville,2020,Other crimes against freedom and sexual indemnity,477
Seville,2020,Robbery with violence and intimidation,1802
Seville,2020,Burglaries with force in homes,1223
Seville,2020,Robberies with force in homes,2966
Seville,2020,Theft,16081
Seville,2020,Vehicle theft,1458
Seville,2020,Drug trafficking,547
Seville,2020,Other criminal offenses,46704
Zaragoza,2020,Intentional homicides and consummated murders,2
Zaragoza,2020,Intentional homicides and attempted murders,26
Zaragoza,2020,Serious and less serious crimes of injuries and riotous brawl,303
Zaragoza,2020,Kidnapping,1
Zaragoza,2020,Crimes against freedom and sexual indemnity,225
Zaragoza,2020,Sexual assault with penetration,29
Zaragoza,2020,Other crimes against freedom and sexual indemnity,196
Zaragoza,2020,Robbery with violence and intimidation,728
Zaragoza,2020,Burglaries with force in homes,425
Zaragoza,2020,Robberies with force in homes,913
Zaragoza,2020,Theft,5765
Zaragoza,2020,Vehicle theft,158
Zaragoza,2020,Drug trafficking,245
Zaragoza,2020,Other criminal offenses,19358
Malaga,2020,Intentional homicides and consummated murders,8
Malaga,2020,Intentional homicides and attempted murders,41
Malaga,2020,Serious and less serious crimes of injuries and riotous brawl,691
Malaga,2020,Kidnapping,5
Malaga,2020,Crimes against freedom and sexual indemnity,458
Malaga,2020,Sexual assault with penetration,58
Malaga,2020,Other crimes against freedom and sexual indemnity,400
Malaga,2020,Robbery with violence and intimidation,1119
Malaga,2020,Burglaries with force in homes,689
Malaga,2020,Robberies with force in homes,3007
Malaga,2020,Theft,15265
Malaga,2020,Vehicle theft,1293
Malaga,2020,Drug trafficking,1045
Malaga,2020,Other criminal offenses,42372
Barcelona,2019,Intentional homicides and consummated murders,45
Barcelona,2019,Intentional homicides and attempted murders,142
Barcelona,2019,Serious and less serious crimes of injuries and riotous brawl,2389
Barcelona,2019,Kidnapping,2
Barcelona,2019,Crimes against freedom and sexual indemnity,2219
Barcelona,2019,Sexual assault with penetration,412
Barcelona,2019,Other crimes against freedom and sexual indemnity,1807
Barcelona,2019,Robbery with violence and intimidation,23836
Barcelona,2019,Burglaries with force in homes,23986
Barcelona,2019,Robberies with force in homes,16180
Barcelona,2019,Theft,165901
Barcelona,2019,Vehicle theft,8392
Barcelona,2019,Drug trafficking,1716
Barcelona,2019,Other criminal offenses,157525
Madrid,2019,Intentional homicides and consummated murders,32
Madrid,2019,Intentional homicides and attempted murders,78
Madrid,2019,Serious and less serious crimes of injuries and riotous brawl,2402
Madrid,2019,Kidnapping,16
Madrid,2019,Crimes against freedom and sexual indemnity,2221
Madrid,2019,Sexual assault with penetration,243
Madrid,2019,Other crimes against freedom and sexual indemnity,1978
Madrid,2019,Robbery with violence and intimidation,15586
Madrid,2019,Burglaries with force in homes,19317
Madrid,2019,Robberies with force in homes,11484
Madrid,2019,Theft,154217
Madrid,2019,Vehicle theft,8086
Madrid,2019,Drug trafficking,2427
Madrid,2019,Other criminal offenses,205312
Valencia,2019,Intentional homicides and consummated murders,23
Valencia,2019,Intentional homicides and attempted murders,66
Valencia,2019,Serious and less serious crimes of injuries and riotous brawl,1131
Valencia,2019,Kidnapping,2
Valencia,2019,Crimes against freedom and sexual indemnity,910
Valencia,2019,Sexual assault with penetration,82
Valencia,2019,Other crimes against freedom and sexual indemnity,828
Valencia,2019,Robbery with violence and intimidation,2958
Valencia,2019,Burglaries with force in homes,9674
Valencia,2019,Robberies with force in homes,6660
Valencia,2019,Theft,35820
Valencia,2019,Vehicle theft,1677
Valencia,2019,Drug trafficking,1031
Valencia,2019,Other criminal offenses,68853
Murcia,2019,Intentional homicides and consummated murders,13
Murcia,2019,Intentional homicides and attempted murders,25
Murcia,2019,Serious and less serious crimes of injuries and riotous brawl,736
Murcia,2019,Kidnapping,3
Murcia,2019,Crimes against freedom and sexual indemnity,531
Murcia,2019,Sexual assault with penetration,49
Murcia,2019,Other crimes against freedom and sexual indemnity,482
Murcia,2019,Robbery with violence and intimidation,1528
Murcia,2019,Burglaries with force in homes,6778
Murcia,2019,Robberies with force in homes,5014
Murcia,2019,Theft,15149
Murcia,2019,Vehicle theft,905
Murcia,2019,Drug trafficking,356
Murcia,2019,Other criminal offenses,31679
Seville,2019,Intentional homicides and consummated murders,9
Seville,2019,Intentional homicides and attempted murders,40
Seville,2019,Serious and less serious crimes of injuries and riotous brawl,695
Seville,2019,Kidnapping,8
Seville,2019,Crimes against freedom and sexual indemnity,550
Seville,2019,Sexual assault with penetration,54
Seville,2019,Other crimes against freedom and sexual indemnity,496
Seville,2019,Robbery with violence and intimidation,2463
Seville,2019,Burglaries with force in homes,6007
Seville,2019,Robberies with force in homes,3657
Seville,2019,Theft,26397
Seville,2019,Vehicle theft,1926
Seville,2019,Drug trafficking,519
Seville,2019,Other criminal offenses,48365
Zaragoza,2019,Intentional homicides and consummated murders,4
Zaragoza,2019,Intentional homicides and attempted murders,7
Zaragoza,2019,Serious and less serious crimes of injuries and riotous brawl,450
Zaragoza,2019,Kidnapping,0
Zaragoza,2019,Crimes against freedom and sexual indemnity,242
Zaragoza,2019,Sexual assault with penetration,20
Zaragoza,2019,Other crimes against freedom and sexual indemnity,222
Zaragoza,2019,Robbery with violence and intimidation,1005
Zaragoza,2019,Burglaries with force in homes,1980
Zaragoza,2019,Robberies with force in homes,1279
Zaragoza,2019,Theft,8961
Zaragoza,2019,Vehicle theft,220
Zaragoza,2019,Drug trafficking,262
Zaragoza,2019,Other criminal offenses,21357
Malaga,2019,Intentional homicides and consummated murders,25
Malaga,2019,Intentional homicides and attempted murders,24
Malaga,2019,Serious and less serious crimes of injuries and riotous brawl,829
Malaga,2019,Kidnapping,11
Malaga,2019,Crimes against freedom and sexual indemnity,565
Malaga,2019,Sexual assault with penetration,42
Malaga,2019,Other crimes against freedom and sexual indemnity,523
Malaga,2019,Robbery with violence and intimidation,1605
Malaga,2019,Burglaries with force in homes,5106
Malaga,2019,Robberies with force in homes,4050
Malaga,2019,Theft,24506
Malaga,2019,Vehicle theft,1776
Malaga,2019,Drug trafficking,1005
Malaga,2019,Other criminal offenses,44516
Spain,2021,Intentional homicides and consummated murders,5
Spain,2021,Intentional homicides and attempted murders,19
Spain,2021,Serious and less serious crimes of injuries and riotous brawl,382
Spain,2021,Kidnapping,2
Spain,2021,Crimes against freedom and sexual indemnity,321
Spain,2021,Sexual assault with penetration,40
Spain,2021,Other crimes against freedom and sexual indemnity,281
Spain,2021,Robbery with violence and intimidation,1001
Spain,2021,Burglaries with force in homes,2002
Spain,2021,Robberies with force in homes,1425
